Gene ID	TSS ID	Transcript ID	gene name
LH09518	TSS57058	CUFF.26749.6	-
LH09519	TSS57062	CUFF.26818.5	-
LH09520	TSS57076	CUFF.26759.1	-
LH09521	TSS57077	CUFF.26797.1	AC005042.4
LH09522	TSS57079	CUFF.26797.7	AC005042.4
LH09523	TSS57078	P1P2	AC005042.4
LH09524	TSS57081	CUFF.26797.9	AC005042.4
LH09525	TSS57089	P1P2	AC009961.3
LH09526	TSS57088	P1P2	AC009961.3
LH09527	TSS57091	CUFF.26787.1	-
LH09528	TSS57121	CUFF.26832.1	-
LH09529	TSS57139	CUFF.26940.14	-
LH09530	TSS57140	CUFF.26849.1	-
LH09531	TSS57141	CUFF.26918.2	-
LH09532	TSS57142	CUFF.26860.1	-
LH09533	TSS57152	P1P2	AC009495.4
LH09534	TSS57162	CUFF.26907.5	AC016723.4
LH09535	TSS57166	ENST00000430546	AC016723.4
LH09536	TSS57167	CUFF.26907.12	AC016723.4
LH09537	TSS57165	P1P2	AC016723.4
LH09538	TSS57171	CUFF.26882.7	-
LH09539	TSS57186	P1P2	CERS6-AS1
LH09540	TSS57184	CUFF.26902.2	CERS6-AS1
LH09541	TSS57189	CUFF.26880.1	-
LH09542	TSS57194	CUFF.26887.1	-
LH09543	TSS57195	CUFF.26896.1	-
LH09544	TSS57196	CUFF.26891.1	-
LH09545	TSS57197	CUFF.26889.1	-
LH09546	TSS57198	CUFF.26892.1	-
LH09547	TSS57207	CUFF.26914.1,CUFF.26914.4	-
LH09548	TSS57221	CUFF.27192.43	-
LH09549	TSS57239	CUFF.26923.1	-
LH09550	TSS57240	CUFF.26915.1	-
LH09551	TSS57248	CUFF.26926.1	-
LH09552	TSS57251	CUFF.26984.5	METAP1D-ASTUCP1
LH09553	TSS57263	P1P2	AC078883.4
LH09554	TSS57266	ENST00000458314,ENST00000417539	AC078883.3
LH09555	TSS57267	P1P2	AC093818.1
LH09555	TSS57270	P1P2	AC093818.1
LH09556	TSS57265	CUFF.26973.11	AC093818.1
LH09557	TSS57273	CUFF.26957.1	-
LH09558	TSS57272	CUFF.26956.4	-
LH09559	TSS57280	CUFF.26958.1	-
LH09560	TSS57289	P1P2	MLK7-AS1
LH09561	TSS57297	CUFF.26985.28	-
LH09562	TSS57300	CUFF.26967.1	-
LH09563	TSS57301	CUFF.26968.1	-
LH09564	TSS57303	CUFF.27024.1	-
LH09565	TSS57311	CUFF.27020.7	-
LH09566	TSS57312	CUFF.27021.1	-
LH09567	TSS57309	CUFF.27020.5	-
LH09568	TSS57321	CUFF.27022.1	-
LH09569	TSS57334	CUFF.26980.1	AC018470.4
LH09570	TSS57335	CUFF.26981.1	-
LH09571	TSS57337	CUFF.26994.1	-
LH09572	TSS57338	CUFF.26995.1	-
LH09573	TSS57339	CUFF.26998.1	-
LH09574	TSS57341	CUFF.27048.1	-
LH09575	TSS57345	CUFF.27001.1	-
LH09576	TSS57346	CUFF.27002.1	-
LH09577	TSS57348	CUFF.27007.1	-
LH09578	TSS57349	CUFF.27008.1,CUFF.27008.2	-
LH09579	TSS57350	P1P2	HOXD-AS2
LH09580	TSS57359	P1P2	HOXD-AS1
LH09581	TSS57355	P1P2	HOXD-AS1
LH09582	TSS57373	P1P2	LINC01116
LH09582	TSS57377	P1P2	LINC01116
LH09583	TSS57374	P1P2	LINC01116
LH09584	TSS57403	CUFF.27143.2	AC079305.8
LH09585	TSS57405	P1P2	AC074286.1
LH09586	TSS57406	P1P2	AC074286.1
LH09587	TSS57411	CUFF.27061.1	-
LH09588	TSS57432	CUFF.27080.1	-
LH09589	TSS57433	CUFF.27080.2	-
LH09590	TSS57436	ENST00000456895	AC068196.1
LH09591	TSS57444	P1P2	RP11-366L5.1
LH09592	TSS57445	CUFF.27092.1	-
LH09593	TSS57454	CUFF.27103.1	-
LH09594	TSS57455	CUFF.27103.3	-
LH09595	TSS57456	CUFF.27103.4	-
LH09596	TSS57459	ENST00000413954	AC064871.3
LH09597	TSS57468	NLT_00004381	LINC-ZNF804A-3
LH09598	TSS57503	CUFF.27202.1	-
LH09599	TSS57505	CUFF.27204.2,CUFF.27204.4,CUFF.27204.7	-
LH09600	TSS57508	CUFF.27167.1	-
LH09601	TSS57509	CUFF.27169.1	-
LH09602	TSS57515	P1P2	AC017101.10
LH09603	TSS57516	CUFF.27181.1	-
LH09604	TSS57521	CUFF.27259.1	-
LH09605	TSS57523	CUFF.27259.9	LINC01090
LH09606	TSS57522	P1P2	LINC01090
LH09606	TSS57527	P1P2	LINC01090
LH09607	TSS57539	CUFF.27236.1,CUFF.27236.2,CUFF.27236.5	-
LH09608	TSS57540	CUFF.27195.1	-
LH09609	TSS57541	ENST00000608680	RP11-455J20.3
LH09610	TSS57546	ENST00000609166	RP11-647K16.1
LH09611	TSS57547	CUFF.27220.3	-
LH09612	TSS57550	ENST00000421437	AC006460.2
LH09613	TSS57556	CUFF.27238.15,CUFF.27238.17	-
LH09614	TSS57549	CUFF.27238.20	-
LH09615	TSS57561	P1P2	AC005540.3
LH09616	TSS57563	CUFF.27224.2	-
LH09617	TSS57566	P1P2	AC092614.2
LH09618	TSS57577	CUFF.27246.2	-
LH09619	TSS57578	CUFF.27246.1	-
LH09620	TSS57575	CUFF.27244.1	-
LH09621	TSS57585	CUFF.27287.1	-
LH09622	TSS57628	CUFF.27289.1	-
LH09623	TSS57629	CUFF.27289.2	-
LH09624	TSS57634	CUFF.27282.1	-
LH09625	TSS57635	CUFF.27282.2	-
LH09626	TSS57647	CUFF.27322.1	-
LH09627	TSS57671	CUFF.27351.6	-
LH09628	TSS57674	P1P2	AC073043.1
LH09629	TSS57684	CUFF.27359.1	-
LH09630	TSS57685	CUFF.27356.1,CUFF.27356.2	-
LH09631	TSS57693	CUFF.27361.1	RP11-469M7.1
LH09632	TSS57700	CUFF.27373.1	-
LH09633	TSS57701	CUFF.27372.1	-
LH09634	TSS57702	ENST00000474886	CFLAR-AS1
LH09635	TSS57704	ENST00000593896	CFLAR-AS1
LH09636	TSS57705	ENST00000601974	CFLAR-AS1
LH09637	TSS57703	P1P2	CFLAR-AS1
LH09638	TSS57706	CUFF.27384.1	AC007283.5
LH09639	TSS57707	CUFF.27385.1,CUFF.27385.4	AC007283.5
LH09640	TSS57711	CUFF.27383.1	-
LH09641	TSS57720	CUFF.27403.1	RP11-107N15.1
LH09642	TSS57728	ENST00000447111	AC079354.5
LH09643	TSS57729	CUFF.27404.1	-
LH09644	TSS57734	ENST00000607928	RP11-686O6.2
LH09645	TSS57732	CUFF.27417.4	RP11-686O6.2
LH09646	TSS57735	CUFF.27416.1	-
LH09647	TSS57736	CUFF.27419.3	-
LH09648	TSS57738	P1P2	-
LH09649	TSS57739	CUFF.27424.1,CUFF.27424.2	-
LH09650	TSS57740	CUFF.27424.3,CUFF.27424.6	-
LH09651	TSS57744	P1P2	RP11-363J17.1
LH09652	TSS57788	CUFF.27503.1	-
LH09653	TSS57787	CUFF.27501.1	LINC-FASTKD2-1
LH09654	TSS57792	ENST00000428777	KLF7-IT1
LH09655	TSS57797	ENST00000432413	AC007879.5
LH09656	TSS57801	P1P2	AC007879.5
LH09657	TSS57807	ENST00000609146	RP11-801F7.1
LH09658	TSS57809	ENST00000343987	AC096772.6
LH09659	TSS57812	CUFF.27509.1	-
LH09660	TSS57828	CUFF.27622.1,CUFF.27622.2	-
LH09661	TSS57824	CUFF.27621.7	-
LH09662	TSS57854	CUFF.27555.1	-
LH09663	TSS57861	CUFF.27556.2	-
LH09664	TSS57862	CUFF.27557.1	-
LH09665	TSS57863	CUFF.27558.1	-
LH09666	TSS57883	ENST00000413311	AC093382.1
LH09667	TSS57884	CUFF.27578.2,CUFF.27578.3,CUFF.27578.4,CUFF.27578.5	RP11-566E18.3
LH09668	TSS57887	P1P2	AC098820.3
LH09669	TSS57902	CUFF.27764.1	-
LH09670	TSS57916	CUFF.27597.1,CUFF.27597.3	-
LH09671	TSS57917	CUFF.27603.1	RP11-378A13.1
LH09672	TSS57926	ENST00000425481	AC021016.6
LH09673	TSS57925	P1P2	AC021016.6
LH09674	TSS57927	ENST00000608367	RP11-378A13.2
LH09675	TSS57928	CUFF.27606.1	-
LH09676	TSS57929	ENST00000607946	RP11-548H3.1
LH09677	TSS57930	CUFF.27611.1	-
LH09678	TSS57931	CUFF.27612.1	-
LH09679	TSS57942	ENST00000607956	RP11-33O4.1
LH09680	TSS57943	CUFF.27638.1	-
LH09681	TSS57946	CUFF.27640.2	-
LH09682	TSS57952	P1P2	AC053503.11
LH09683	TSS57954	ENST00000596829	RP11-256I23.1
LH09684	TSS57955	CUFF.27650.1	-
LH09685	TSS58001	P1P2	RP11-384O8.1
LH09686	TSS58002	NLT_00004428	SGPP2-AS1
LH09687	TSS58003	NLT_00004429	SGPP2-AS1
LH09688	TSS58004	ENST00000568928	RP11-16P6.1
LH09689	TSS58016	CUFF.27679.1	-
LH09690	TSS58036	CUFF.27703.2	-
LH09691	TSS58039	ENST00000425192	AC073641.2
LH09692	TSS58038	CUFF.27707.1	AC073641.2
LH09693	TSS58053	CUFF.27743.1,CUFF.27743.2	-
LH09694	TSS58090	ENST00000437673	AC097662.2
LH09695	TSS58088	P1P2	AC097662.2
LH09696	TSS58091	CUFF.27778.1	-
LH09697	TSS58102	CUFF.27779.4	-
LH09698	TSS58100	CUFF.27779.1,CUFF.27779.2	-
LH09699	TSS58103	CUFF.27779.5	-
LH09700	TSS58110	CUFF.27785.1	-
LH09701	TSS58113	CUFF.27844.1	AC009410.1
LH09702	TSS58115	CUFF.27844.4	AC009410.1
LH09703	TSS58116	P1P2	AC009410.1
LH09704	TSS58128	CUFF.27827.1	-
LH09705	TSS58129	CUFF.27823.1	-
LH09706	TSS58137	CUFF.27854.1	-
LH09707	TSS58131	CUFF.27850.1	-
LH09708	TSS58134	CUFF.27850.4	-
LH09709	TSS58139	CUFF.27831.1	-
LH09710	TSS58140	CUFF.27831.2	-
LH09711	TSS58142	CUFF.27831.8	-
LH09712	TSS58147	CUFF.27828.1	-
LH09713	TSS58160	CUFF.27846.1	-
LH09714	TSS58161	CUFF.27848.1	-
LH09715	TSS58162	CUFF.27848.3	-
LH09716	TSS58166	P1P2	LINC00471
LH09717	TSS58181	CUFF.27883.1	-
LH09718	TSS58185	ENST00000413841	AC105461.1
LH09719	TSS58186	CUFF.27890.1	-
LH09720	TSS58190	CUFF.27917.1	-
LH09721	TSS58212	P1P2	AC073254.1
LH09722	TSS58209	CUFF.27977.4	AC073254.1
LH09723	TSS58211	ENST00000415506,CUFF.27977.14,ENST00000597495	AC073254.1
LH09724	TSS58217	ENST00000427571	AC064852.4
LH09725	TSS58221	CUFF.27927.3	-
LH09726	TSS58223	CUFF.27926.3	-
LH09727	TSS58225	CUFF.27926.6,CUFF.27926.7	-
LH09728	TSS58230	CUFF.27925.1,CUFF.27925.3	-
LH09729	TSS58231	CUFF.27928.2	-
LH09730	TSS58237	CUFF.27938.1	-
LH09731	TSS58244	CUFF.27975.21	-
LH09732	TSS58259	CUFF.27947.1	-
LH09733	TSS58272	CUFF.27948.2	-
LH09734	TSS58273	P1P2	-
LH09735	TSS58284	CUFF.27972.2	-
LH09736	TSS58293	CUFF.27983.3	-
LH09737	TSS58295	CUFF.27984.2	-
LH09738	TSS58297	CUFF.27984.4,CUFF.27984.6	-
LH09739	TSS58294	CUFF.27984.1	-
LH09740	TSS58320	P1P2	AC105760.2
LH09741	TSS58348	P1P2	AC112721.2
LH09742	TSS58349	CUFF.28022.1	-
LH09743	TSS58351	CUFF.28034.1,CUFF.28034.2	-
LH09744	TSS58352	CUFF.28038.3	-
LH09745	TSS58368	CUFF.28044.1,CUFF.28044.2,CUFF.28044.4	-
LH09746	TSS58378	CUFF.28059.2	-
LH09747	TSS58399	P1P2	AC144525.1
LH09747	TSS58400	P1P2	AC144525.1
LH09748	TSS58405	P1P2	-
LH09749	TSS58411	CUFF.28144.24	-
LH09750	TSS58462	CUFF.28169.10	-
LH09751	TSS58471	P1P2	CAPN10-AS1
LH09752	TSS58496	P1P2	AC005237.4
LH09753	TSS58499	ENST00000414896	AC005104.3
LH09754	TSS58510	CUFF.28184.2	-
LH09755	TSS58511	CUFF.28184.3	-
LH09756	TSS58509	CUFF.28184.1	-
LH09757	TSS58512	CUFF.28184.6	-
LH09758	TSS58514	CUFF.28188.1	-
LH09759	TSS58515	P1P2	AC114730.11
LH09760	TSS58516	NLT_00004452	LINC-D2HGDH-2
LH09761	TSS58518	CUFF.28198.1	-
LH09762	TSS58519	CUFF.28201.1,CUFF.28201.2	AC114730.7
LH09763	TSS58522	CUFF.28199.3	-
LH09764	TSS58525	CUFF.28204.2	LINC-D2HGDH-1
LH09765	TSS58533	CUFF.28212.2	-
LH09766	TSS58539	CUFF.28206.1	AC114730.2
LH09767	TSS58540	CUFF.28206.2	AC114730.2
LH09768	TSS58541	CUFF.28203.1	-
LH09769	TSS58543	CUFF.28299.2,CUFF.28299.4	AC093642.3
LH09770	TSS58552	CUFF.28211.1	-
LH09771	TSS58560	CUFF.28232.13	-
LH09772	TSS58563	CUFF.28230.1	RP5-1103G7.4
LH09773	TSS58564	CUFF.28230.2	-
LH09774	TSS58565	CUFF.28230.3	RP5-1103G7.4
LH09775	TSS58566	CUFF.28230.4	RP5-1103G7.4
LH09776	TSS58570	CUFF.28222.1	-
LH09777	TSS58572	CUFF.28243.2	-
LH09778	TSS58604	P1P2	SDCBP2-AS1
LH09779	TSS58639	P1P2	RP11-128M1.1
LH09780	TSS58648	CUFF.28295.1	-
LH09781	TSS58656	CUFF.28313.6	-
LH09782	TSS58657	CUFF.28313.7	-
LH09783	TSS58658	CUFF.28313.8	-
LH09784	TSS58659	CUFF.28313.9	-
LH09785	TSS58660	CUFF.28313.11	-
LH09786	TSS58670	P1P2	-
LH09787	TSS58671	CUFF.28320.2	-
LH09788	TSS58682	P1P2	RP4-779E11.3
LH09789	TSS58720	CUFF.28482.1	RP5-1022P6.7
LH09790	TSS58725	CUFF.28373.1	-
LH09791	TSS58736	CUFF.28382.1	-
LH09792	TSS58770	ENST00000451443	PLCB1-IT1
LH09793	TSS58778	CUFF.28574.8	RP11-416N4.1
LH09794	TSS58840	CUFF.28461.1,CUFF.28461.4	-
LH09795	TSS58856	CUFF.28495.4	-
LH09796	TSS58861	CUFF.28493.1	-
LH09797	TSS58862	CUFF.28504.1	-
LH09798	TSS58863	CUFF.28505.1	-
LH09799	TSS58865	CUFF.28506.1	-
LH09800	TSS58872	CUFF.28543.18	-
LH09801	TSS58911	CUFF.28638.1	RP4-568F9.6
LH09802	TSS58917	P1P2	LINC00493
LH09803	TSS58920	P1P2	RP5-1068E13.7
LH09804	TSS58921	ENST00000609087	RP5-1068E13.7
LH09805	TSS58924	CUFF.28597.1	-
LH09806	TSS58940	P1P2	RP1-122P22.2
LH09807	TSS58941	P1P2	RP1-122P22.2
LH09808	TSS58962	P1P2	PLK1S1
LH09809	TSS58963	ENST00000432487	PLK1S1
LH09810	TSS58964	ENST00000457464	PLK1S1
LH09811	TSS58965	ENST00000428699	PLK1S1
LH09812	TSS58966	CUFF.28859.19,ENST00000419359	PLK1S1
LH09813	TSS58977	ENST00000549659	NKX2-2-AS1
LH09814	TSS59046	CUFF.28706.2	-
LH09815	TSS59047	P1P2	-
LH09816	TSS59073	CUFF.28746.1	-
LH09817	TSS59115	CUFF.28795.1	-
LH09818	TSS59119	P1P2	ZNF337-AS1
LH09818	TSS59120	P1P2	ZNF337-AS1
LH09819	TSS59123	CUFF.28950.38	-
LH09820	TSS59125	P1P2	RP13-401N8.1
LH09821	TSS59130	CUFF.28822.1	-
LH09822	TSS59133	CUFF.28823.1	-
LH09823	TSS59131	CUFF.28822.2	-
LH09824	TSS59162	ENST00000421894	HM13-IT1
LH09825	TSS59164	CUFF.28832.1	-
LH09826	TSS59167	ENST00000412972	RP11-243J16.7
LH09827	TSS59170	CUFF.28838.1	-
LH09828	TSS59175	CUFF.28869.1	RP5-1184F4.5
LH09829	TSS59190	CUFF.28866.1	-
LH09830	TSS59191	ENST00000569087	RP5-1085F17.3
LH09831	TSS59201	ENST00000607224	RP1-63M2.6
LH09832	TSS59203	CUFF.28901.1	-
LH09833	TSS59207	CUFF.28907.3,CUFF.28907.4	-
LH09834	TSS59208	CUFF.28907.5	-
LH09835	TSS59210	ENST00000434926	RP1-64K7.4
LH09836	TSS59219	ENST00000418598	ITCH-IT1
LH09837	TSS59222	CUFF.28931.1	-
LH09838	TSS59223	CUFF.28936.1	-
LH09839	TSS59226	CUFF.28939.1	-
LH09840	TSS59227	ENST00000599751	RP3-477O4.16
LH09841	TSS59229	CUFF.28942.1	-
LH09842	TSS59233	CUFF.28947.1	-
LH09843	TSS59234	CUFF.28949.1	-
LH09844	TSS59235	CUFF.28953.2	-
LH09845	TSS59236	CUFF.28954.1	-
LH09846	TSS59242	CUFF.28966.1	-
LH09847	TSS59250	CUFF.28973.1	-
LH09848	TSS59257	CUFF.28988.1	-
LH09849	TSS59258	CUFF.28988.2	-
LH09850	TSS59267	CUFF.28994.1	-
LH09851	TSS59271	CUFF.29001.2	-
LH09852	TSS59273	CUFF.29000.1	-
LH09853	TSS59277	P1P2	SNHG11
LH09853	TSS59278	P1P2	SNHG11
LH09854	TSS59280	ENST00000457218	SNHG11
LH09855	TSS59281	ENST00000442419	SNHG11
LH09856	TSS59282	ENST00000444816	SNHG11
LH09857	TSS59321	CUFF.29031.2	-
LH09858	TSS59335	CUFF.29078.1	-
LH09859	TSS59337	ENST00000423733	RP3-511B24.6
LH09860	TSS59403	CUFF.29103.1	OSER1-AS1
LH09861	TSS59404	CUFF.29103.3	OSER1-AS1
LH09862	TSS59405	P1P2	OSER1-AS1
LH09862	TSS59406	P1P2	OSER1-AS1
LH09863	TSS59414	CUFF.29157.1	RP11-445H22.3
LH09864	TSS59417	CUFF.29107.1	-
LH09865	TSS59433	CUFF.29119.1	-
LH09866	TSS59441	CUFF.29149.1	-
LH09867	TSS59442	CUFF.29151.1	-
LH09868	TSS59444	CUFF.29160.1	-
LH09869	TSS59448	CUFF.29175.1,CUFF.29175.3	-
LH09870	TSS59449	CUFF.29175.6	-
LH09871	TSS59452	CUFF.29173.1	-
LH09872	TSS59467	CUFF.29186.3	-
LH09873	TSS59468	ENST00000606362	RP1-28H20.3
LH09874	TSS59469	CUFF.29183.1	-
LH09875	TSS59481	CUFF.29191.1	-
LH09876	TSS59482	P1P2	RP4-569M23.2
LH09877	TSS59484	CUFF.29206.1	RP1-148H17.1
LH09878	TSS59488	ENST00000526566,CUFF.29204.2	CTD-2653D5.1
LH09879	TSS59498	P1P2	RP11-347D21.1,RP11-347D21.2
LH09880	TSS59517	CUFF.29501.7	-
LH09881	TSS59518	CUFF.29501.8	-
LH09882	TSS59554	CUFF.29221.1	-
LH09883	TSS59563	ENST00000371743,ENST00000417721,ENST00000441722,ENST00000450535,CUFF.29264.12,ENST00000458653	ZFAS1
LH09883	TSS59564	P1	ZFAS1
LH09883	TSS59564	P2	ZFAS1
LH09884	TSS59575	CUFF.29244.1,CUFF.29244.3,CUFF.29244.6	-
LH09885	TSS59574	CUFF.29243.6	-
LH09886	TSS59577	CUFF.29249.3	-
LH09887	TSS59579	CUFF.29249.5	-
LH09888	TSS59596	CUFF.29257.1	-
LH09889	TSS59597	CUFF.29256.2	-
LH09890	TSS59603	CUFF.29270.1	-
LH09891	TSS59604	CUFF.29270.2	-
LH09892	TSS59606	CUFF.29277.2	-
LH09893	TSS59608	P1P2	RP11-112L6.2
LH09894	TSS59611	P1P2	RP11-112L6.4
LH09895	TSS59618	P1P2	RP11-290F20.3
LH09896	TSS59621	P1P2	RP11-290F20.1
LH09897	TSS59622	ENST00000457853	RP11-290F20.1
LH09898	TSS59634	CUFF.29304.1	-
LH09899	TSS59639	CUFF.29294.1	-
LH09900	TSS59650	CUFF.29300.1	RP5-914P20.5
LH09901	TSS59651	CUFF.29300.3	RP5-914P20.5
LH09902	TSS59653	P1P2	RP5-914P20.5
LH09903	TSS59690	CUFF.29319.1	-
LH09904	TSS59702	P1P2	RP4-723E3.1
LH09905	TSS59725	CUFF.29379.7	RP4-724E16.2
LH09906	TSS59734	CUFF.29371.1,CUFF.29371.2	-
LH09907	TSS59735	CUFF.29371.4,CUFF.29371.5	-
LH09908	TSS59736	CUFF.29371.6	-
LH09909	TSS59737	CUFF.29397.1	-
LH09910	TSS59738	CUFF.29397.2	-
LH09911	TSS59744	CUFF.29395.12	-
LH09912	TSS59747	CUFF.29374.1	-
LH09913	TSS59756	CUFF.29406.1	-
LH09914	TSS59782	CUFF.29402.1	-
LH09915	TSS59855	CUFF.29461.1	-
LH09916	TSS59856	P1P2	-
LH09916	TSS59857	P1P2	-
LH09917	TSS59893	CUFF.29468.1	-
LH09918	TSS59894	CUFF.29469.1	-
LH09919	TSS59897	P1P2	APCDD1L-AS1
LH09919	TSS59898	P1P2	APCDD1L-AS1
LH09920	TSS59900	P1P2	APCDD1L-AS1
LH09921	TSS59901	ENST00000525424	RP5-907D15.3
LH09922	TSS59902	CUFF.29488.1	-
LH09923	TSS59903	ENST00000530479	RP11-261P9.4
LH09924	TSS59908	CUFF.29530.1	GNAS-AS1
LH09925	TSS59909	CUFF.29495.1	-
LH09926	TSS59932	P1P2	RP5-1043L13.1
LH09927	TSS59933	P1P2	RP5-1043L13.1
LH09928	TSS59971	CUFF.29583.1	-
LH09929	TSS59974	CUFF.29610.1	-
LH09930	TSS59977	CUFF.29615.1	TUCP-TAF4-1
LH09931	TSS59978	TUCPT_00001381	TUCP-TAF4-1
LH09932	TSS59989	P1P2	RP11-157P1.5
LH09933	TSS59993	CUFF.29613.1	-
LH09934	TSS60021	CUFF.29653.9	-
LH09935	TSS60022	CUFF.29653.11	-
LH09936	TSS60023	CUFF.29653.12	-
LH09937	TSS60025	CUFF.29653.16	-
LH09938	TSS60029	CUFF.29637.1	-
LH09939	TSS60032	CUFF.29675.2	LINC00659
LH09940	TSS60033	CUFF.29642.1	-
LH09941	TSS60035	CUFF.29652.3,CUFF.29652.7	-
LH09942	TSS60052	CUFF.29670.2	-
LH09943	TSS60078	CUFF.29686.2	RP11-358D14.2
LH09944	TSS60085	CUFF.29707.1,CUFF.29707.2	-
LH09945	TSS60086	CUFF.29707.4,CUFF.29707.6,CUFF.29707.5	-
LH09946	TSS60087	CUFF.29707.7	SRMS-AS1
LH09947	TSS60101	P1P2	CTD-3184A7.4
LH09948	TSS60107	ENST00000447343	RP4-583P15.10
LH09949	TSS60108	ENST00000433905	RP4-583P15.10
LH09950	TSS60119	P1P2	RP13-152O15.5
LH09951	TSS60127	P1P2	RP5-1103G7.4
LH09952	TSS60131	P1P2	RP5-1103G7.4
LH09953	TSS60136	CUFF.28223.1	-
LH09954	TSS60139	CUFF.28224.2	-
LH09955	TSS60137	CUFF.28223.2	-
LH09956	TSS60141	CUFF.28221.1	-
LH09957	TSS60151	CUFF.28288.9,CUFF.28288.10	PSMF1-AS1
LH09958	TSS60156	CUFF.28264.1	LINC-FKBP1A-3
LH09959	TSS60173	CUFF.28260.1	-
LH09960	TSS60195	CUFF.28291.1	-
LH09961	TSS60197	CUFF.28297.1	-
LH09962	TSS60200	CUFF.28308.1	-
LH09963	TSS60204	CUFF.28321.1	-
LH09964	TSS60203	P1P2	-
LH09965	TSS60205	CUFF.28337.1	-
LH09966	TSS60206	CUFF.28335.1	-
LH09967	TSS60208	P1P2	RP11-119B16.2
LH09968	TSS60207	P1P2	RP11-119B16.2
LH09969	TSS60209	CUFF.28338.1	-
LH09970	TSS60210	CUFF.28344.1	-
LH09971	TSS60211	CUFF.28343.1	-
LH09972	TSS60212	CUFF.28343.2	-
LH09973	TSS60221	CUFF.28354.2	-
LH09974	TSS60232	P1P2	-
LH09975	TSS60245	P1P2	LINC00654
LH09976	TSS60266	CUFF.28384.1	-
LH09977	TSS60267	CUFF.28385.1	-
LH09978	TSS60268	P1P2	-
LH09979	TSS60302	CUFF.28422.3	-
LH09980	TSS60321	CUFF.28418.1	-
LH09981	TSS60331	P1P2	SNAP25-AS1
LH09982	TSS60332	P1P2	SNAP25-AS1
LH09983	TSS60373	CUFF.28490.8	LINC00687
LH09984	TSS60376	P1P2	RP4-742J24.2
LH09985	TSS60386	CUFF.28455.1	-
LH09986	TSS60387	CUFF.28454.1	-
LH09987	TSS60390	CUFF.28458.1	-
LH09988	TSS60409	CUFF.28471.1	-
LH09989	TSS60410	CUFF.28472.1	-
LH09990	TSS60413	CUFF.28468.1	-
LH09991	TSS60419	CUFF.28479.1	-
LH09992	TSS60425	CUFF.28513.1	-
LH09993	TSS60456	CUFF.28536.1	-
LH09994	TSS60459	CUFF.28537.1	-
LH09995	TSS60468	CUFF.28551.1	-
LH09996	TSS60469	CUFF.28550.1	-
LH09997	TSS60498	ENST00000436848	RP4-568F9.3
LH09998	TSS60499	CUFF.28572.1	-
LH09999	TSS60527	NLT_00004581	LINC-SLC24A3-1
LH10000	TSS60528	ENST00000446849	RP11-97N19.2
LH10001	TSS60537	P1P2	RP4-718D20.3
LH10002	TSS60541	ENST00000609846	RP4-718D20.3
LH10003	TSS60543	CUFF.28645.3	RP1-122P22.2
LH10004	TSS60557	CUFF.28627.3	-
LH10005	TSS60596	CUFF.28654.1	-
LH10006	TSS60600	CUFF.28656.1	-
LH10007	TSS60608	CUFF.28665.1	-
LH10008	TSS60651	CUFF.28708.1	-
LH10009	TSS60664	P1P2	LINC00656
LH10010	TSS60680	P1P2	RP3-322G13.5
LH10010	TSS60682	P1P2	RP3-322G13.5
LH10011	TSS60690	ENST00000602977	RP11-218C14.8
LH10012	TSS60740	CUFF.28781.1	-
LH10013	TSS60741	CUFF.28781.2,CUFF.28781.4	-
LH10014	TSS60761	CUFF.28811.1	-
LH10015	TSS60776	P1P2	MIR663A
LH10015	TSS60778	P1P2	MIR663A
LH10016	TSS60772	P1	MIR663A
LH10016	TSS60772	P2	MIR663A
LH10017	TSS60769	P1P2	MIR663A
LH10018	TSS60792	ENST00000454331	RP4-610C12.3
LH10019	TSS60802	CUFF.28895.1	-
LH10020	TSS60801	CUFF.28894.11	-
LH10021	TSS60803	CUFF.28819.1	-
LH10022	TSS60804	CUFF.28818.1	-
LH10023	TSS60806	CUFF.28827.2	-
LH10024	TSS60810	P1P2	HM13-AS1
LH10025	TSS60811	CUFF.28830.3	HM13-AS1
LH10026	TSS60836	P1P2	C20orf203
LH10027	TSS60841	CUFF.28864.1	-
LH10028	TSS60843	CUFF.28877.2	RP5-1085F17.4
LH10029	TSS60865	CUFF.28905.1	-
LH10030	TSS60873	P1P2	RP5-1125A11.1
LH10031	TSS60875	CUFF.28910.1,CUFF.28910.5	RP1-64K7.4
LH10032	TSS60878	CUFF.28927.1	RP4-785G19.5
LH10033	TSS60879	P1P2	RP4-785G19.5
LH10034	TSS60880	ENST00000609218	CTD-3216D2.5
LH10035	TSS60885	CUFF.28921.1	-
LH10036	TSS60897	CUFF.28935.2	-
LH10037	TSS60902	P1P2	MMP24-AS1
LH10037	TSS60905	P1P2	MMP24-AS1
LH10038	TSS60904	ENST00000444717	RP4-614O4.11
LH10039	TSS60906	P1P2	RP3-477O4.14
LH10040	TSS60908	CUFF.28956.4	RP3-477O4.14
LH10041	TSS60910	CUFF.28945.2	RP3-477O4.16
LH10042	TSS60911	CUFF.28943.1	-
LH10043	TSS60912	CUFF.28946.1	-
LH10044	TSS60914	CUFF.28948.1	-
LH10045	TSS60915	P1P2	LINC00657
LH10046	TSS60921	CUFF.28961.1	-
LH10047	TSS60922	CUFF.28963.1,CUFF.28963.2	-
LH10048	TSS60924	CUFF.29020.1	RP5-977B1.7
LH10049	TSS60928	P1P2	RP5-977B1.7
LH10050	TSS60925	P1P2	RP5-977B1.7
