Gene ID	TSS ID	Transcript ID	gene name
LH00344	TSS1970	CUFF.1945.1	-
LH00345	TSS1976	CUFF.1950.1	-
LH00346	TSS1981	CUFF.2108.1	RP4-717I23.3
LH00347	TSS1982	CUFF.2108.2	RP4-717I23.3
LH00348	TSS1985	CUFF.1969.1	-
LH00349	TSS1986	CUFF.1975.1	-
LH00350	TSS1991	P1P2	RP5-1033H22.2
LH00351	TSS1992	P1P2	RP5-1033H22.2
LH00352	TSS1993	CUFF.2019.44	-
LH00353	TSS1998	P1P2	RP4-561L24.3
LH00354	TSS2000	CUFF.1977.1	-
LH00355	TSS2015	CUFF.1990.1	-
LH00356	TSS2016	CUFF.1990.2	-
LH00357	TSS2017	CUFF.1990.3	-
LH00358	TSS2018	CUFF.1990.4	-
LH00359	TSS2037	P1P2	LINC01057
LH00360	TSS2040	P1P2	RP4-639F20.1
LH00361	TSS2043	P1P2	RP4-639F20.1
LH00362	TSS2045	CUFF.2001.1	-
LH00363	TSS2093	ENST00000422980	DPYD-AS1
LH00364	TSS2120	CUFF.2053.1,CUFF.2053.2	-
LH00365	TSS2121	CUFF.2053.3	-
LH00366	TSS2126	ENST00000564623	RP4-714D9.5
LH00367	TSS2128	CUFF.2071.1	-
LH00368	TSS2138	ENST00000609247	RP4-549L20.3
LH00369	TSS2141	ENST00000414686	RP11-421L21.2
LH00370	TSS2142	P1P2	RP11-421L21.3
LH00371	TSS2145	ENST00000451213	RP11-421L21.3
LH00372	TSS2164	CUFF.2109.3	RP11-411H5.1
LH00373	TSS2178	CUFF.2145.1	-
LH00374	TSS2208	CUFF.2148.1	-
LH00375	TSS2209	CUFF.2183.1	-
LH00376	TSS2212	CUFF.2188.2	-
LH00377	TSS2213	CUFF.2188.5	-
LH00378	TSS2214	CUFF.2188.7	-
LH00379	TSS2217	P1P2	RP11-233E12.1
LH00380	TSS2218	CUFF.2168.7	-
LH00381	TSS2234	CUFF.2203.1	-
LH00382	TSS2235	CUFF.2206.1	RP11-483I13.5
LH00383	TSS2236	P1	RP11-483I13.5
LH00383	TSS2236	P2	RP11-483I13.5
LH00384	TSS2239	CUFF.2217.1	-
LH00385	TSS2251	CUFF.2213.1,CUFF.2213.2	-
LH00386	TSS2252	P1P2	SCARNA2
LH00387	TSS2259	ENST00000436416	RP5-1160K1.3
LH00388	TSS2262	P1P2	RP4-735C1.4
LH00389	TSS2265	P1P2	RP4-735C1.6
LH00390	TSS2267	P1P2	RP11-195M16.3
LH00391	TSS2269	CUFF.2246.2	RP4-773N10.4
LH00392	TSS2272	CUFF.2253.4	RP4-773N10.6
LH00393	TSS2273	P1P2	RP4-773N10.6
LH00394	TSS2280	ENST00000609909	RP5-1074L1.4
LH00395	TSS2282	P1	LAMTOR5-AS1
LH00395	TSS2282	P2	LAMTOR5-AS1
LH00396	TSS2284	ENST00000608253	LAMTOR5-AS1
LH00397	TSS2287	ENST00000609653	LAMTOR5-AS1
LH00398	TSS2289	P1P2	LAMTOR5-AS1
LH00399	TSS2291	ENST00000599202	LAMTOR5-AS1
LH00400	TSS2312	CUFF.2288.2	RP11-96K19.2
LH00401	TSS2314	ENST00000609118	RP11-96K19.5
LH00402	TSS2318	CUFF.2280.1	-
LH00403	TSS2320	CUFF.2281.1	-
LH00404	TSS2322	P1P2	FAM212B-AS1
LH00405	TSS2338	CUFF.2306.5	-
LH00406	TSS2340	CUFF.2339.1	RP11-426L16.8
LH00407	TSS2343	P1P2	SLC16A1-AS1
LH00407	TSS2344	P1P2	SLC16A1-AS1
LH00408	TSS2346	CUFF.2374.16	RP11-389O22.1
LH00409	TSS2347	ENST00000451149	RP11-389O22.1
LH00410	TSS2349	CUFF.2382.1	RP11-31F15.2
LH00411	TSS2350	CUFF.2312.1	-
LH00412	TSS2357	CUFF.2329.1	-
LH00413	TSS2359	ENST00000419536	AP4B1-AS1
LH00414	TSS2361	CUFF.2320.2	-
LH00415	TSS2363	CUFF.2321.1	-
LH00416	TSS2369	CUFF.2325.4	-
LH00417	TSS2370	CUFF.2326.1	-
LH00418	TSS2371	CUFF.2326.2	-
LH00419	TSS2373	CUFF.2334.1	-
LH00420	TSS2411	CUFF.2440.2	RP5-1086K13.1
LH00421	TSS2414	CUFF.2370.1	-
LH00422	TSS2415	CUFF.2370.2	-
